"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","weather_condition"
"38","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-07",9.62,",,W",NA,"",0.21,",,W,2400",0,",,W",38,"H,,S",42,",,W",35,",,W",50,",,W",40,",,W",18.1,",,W",23,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",1,",,W",NA,"","No Snow"
"39","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-08",13.2,",,W",NA,"",0.07,",,W,2400",0,",,W",43,"H,,S",57,",,W",31,",,W",280,",,W",270,",,W",33.1,",,W",44.1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"40","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-09",19.69,",,W",NA,"",0,",,W,2400",0,",,W",31,"H,,S",36,",,W",25,",,W",300,",,W",280,",,W",31.1,",,W",42.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"41","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-10",12.3,",,W",NA,"",0,",,W,2400",0,",,W",30,"H,,S",37,",,W",24,",,W",270,",,W",270,",,W",19.9,",,W",25.1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"42","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-11",10.51,",,W",NA,"",0,",,W,2400",0,",,W",32,"H,,S",37,",,W",26,",,W",330,",,W",330,",,W",18.1,",,W",23.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"43","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-12",14.09,",,W",NA,"",0.91,",,W,2400",2.4,",,W",26,"H,,S",38,",,W",19,",,W",90,",,W",90,",,W",25.1,",,W",32,",,W",1,",,W",1,",,W",NA,"",1,",,W",NA,"",1,",,W",NA,"",NA,"","Snow"
"44","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-13",13.42,",,W",NA,"",0.28,",,W,2400",0.1,",,W",38,"H,,S",43,",,W",33,",,W",290,",,W",290,",,W",25.1,",,W",32,",,W",1,",,W",NA,"",NA,"",NA,"",1,",,W",NA,"",NA,"",NA,"","Snow"
"45","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-14",13.65,",,W",NA,"",0,",,W,2400",0,",,W",35,"H,,S",40,",,W",31,",,W",290,",,W",300,",,W",29.1,",,W",38.9,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"46","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-15",11.41,",,W",NA,"",0.1,",,W,2400",0,",,W",40,"H,,S",52,",,W",31,",,W",210,",,W",220,",,W",23.9,",,W",31.1,",,W",1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
"47","USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",42.36057,-71.00975,3.2,"2019-02-16",12.08,",,W",NA,"",0,",,W,2400",0,",,W",43,"H,,S",49,",,W",31,",,W",310,",,W",300,",,W",18.1,",,W",25.1,",,W",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","No Snow"
